year,metric,team,value
2006,all_time_6nations_wins,Italy,72.0
2006,points,Ireland,174.0
2006,points,England,156.0
2006,points,France,148.0
2006,points,Scotland,105.0
2006,points,Wales,80.0
2006,points,Italy,72.0
2006,points,Ireland,174.0
2006,points,England,156.0
2006,points,France,148.0
2006,points,Scotland,105.0
2006,points,Wales,80.0
2006,points,Italy,72.0
2006,ireland,Ireland,174.0
2006,ireland,England,156.0
2006,ireland,France,148.0
2006,ireland,Scotland,105.0
2006,ireland,Wales,80.0
2006,ireland,Italy,72.0
2007,all_time_6nations_wins,Ireland,211.0
2007,all_time_6nations_wins,France,194.0
2007,all_time_6nations_wins,England,174.0
2007,all_time_6nations_wins,Scotland,133.0
2007,all_time_6nations_wins,Italy,97.0
2007,all_time_6nations_wins,Wales,86.0
2007,all_time_6nations_wins,Ireland,211.0
2007,all_time_6nations_wins,France,194.0
2007,all_time_6nations_wins,England,174.0
2007,all_time_6nations_wins,Scotland,133.0
2007,all_time_6nations_wins,Italy,97.0
2007,all_time_6nations_wins,Wales,86.0
2007,points,Ireland,211.0
2007,points,France,194.0
2007,points,England,174.0
2007,points,Scotland,133.0
2007,points,Italy,97.0
2007,points,Wales,86.0
2007,points,Ireland,211.0
2007,points,France,194.0
2007,points,England,174.0
2007,points,Scotland,133.0
2007,points,Italy,97.0
2007,points,Wales,86.0
2007,ireland,Ireland,211.0
2007,ireland,France,194.0
2007,ireland,England,174.0
2007,ireland,Scotland,133.0
2007,ireland,Italy,97.0
2007,ireland,Wales,86.0
2008,all_time_6nations_wins,England,150.0
2008,all_time_6nations_wins,Wales,148.0
2008,all_time_6nations_wins,Ireland,137.0
2008,all_time_6nations_wins,France,128.0
2008,all_time_6nations_wins,Scotland,97.0
2008,all_time_6nations_wins,Italy,87.0
2008,all_time_6nations_wins,England,150.0
2008,all_time_6nations_wins,Wales,148.0
2008,all_time_6nations_wins,Ireland,137.0
2008,all_time_6nations_wins,France,128.0
2008,all_time_6nations_wins,Scotland,97.0
2008,all_time_6nations_wins,Italy,87.0
2008,points,England,150.0
2008,points,Wales,148.0
2008,points,Ireland,137.0
2008,points,France,128.0
2008,points,Scotland,97.0
2008,points,Italy,87.0
2008,points,England,150.0
2008,points,Wales,148.0
2008,points,Ireland,137.0
2008,points,France,128.0
2008,points,Scotland,97.0
2008,points,Italy,87.0
2008,england,England,150.0
2008,england,Wales,148.0
2008,england,Ireland,137.0
2008,england,France,128.0
2008,england,Scotland,97.0
2008,england,Italy,87.0
2009,all_time_6nations_wins,England,163.0
2009,all_time_6nations_wins,Ireland,157.0
2009,all_time_6nations_wins,France,124.0
2009,all_time_6nations_wins,Scotland,106.0
2009,all_time_6nations_wins,Wales,100.0
2009,all_time_6nations_wins,Italy,49.0
2009,all_time_6nations_wins,England,163.0
2009,all_time_6nations_wins,Ireland,157.0
2009,all_time_6nations_wins,France,124.0
2009,all_time_6nations_wins,Scotland,106.0
2009,all_time_6nations_wins,Wales,100.0
2009,all_time_6nations_wins,Italy,49.0
2009,points,England,163.0
2009,points,Ireland,157.0
2009,points,France,124.0
2009,points,Scotland,106.0
2009,points,Wales,100.0
2009,points,Italy,49.0
2009,points,England,163.0
2009,points,Ireland,157.0
2009,points,France,124.0
2009,points,Scotland,106.0
2009,points,Wales,100.0
2009,points,Italy,49.0
2009,england,England,163.0
2009,england,Ireland,157.0
2009,england,France,124.0
2009,england,Scotland,106.0
2009,england,Wales,100.0
2009,england,Italy,49.0
2010,all_time_6nations_wins,France,181.0
2010,all_time_6nations_wins,Ireland,146.0
2010,all_time_6nations_wins,Scotland,121.0
2010,all_time_6nations_wins,England,119.0
2010,all_time_6nations_wins,Wales,113.0
2010,all_time_6nations_wins,Italy,89.0
2010,all_time_6nations_wins,France,181.0
2010,all_time_6nations_wins,Ireland,146.0
2010,all_time_6nations_wins,Scotland,121.0
2010,all_time_6nations_wins,England,119.0
2010,all_time_6nations_wins,Wales,113.0
2010,all_time_6nations_wins,Italy,89.0
2010,points,France,181.0
2010,points,Ireland,146.0
2010,points,Scotland,121.0
2010,points,England,119.0
2010,points,Wales,113.0
2010,points,Italy,89.0
2010,points,France,181.0
2010,points,Ireland,146.0
2010,points,Scotland,121.0
2010,points,England,119.0
2010,points,Wales,113.0
2010,points,Italy,89.0
2010,france,France,181.0
