year,team,try_scored,carries,offload,try_assist,defender_beaten,missed_tackle,lineout_steals,lineout_throws_won,kicks_in_play,kick_metres,retained_kick,dominant_contact,dominant_tackle_contact,total_successful_tackles,box_kicks,total_turnovers_won,attacking_catch_success,successful_goals,carry_metres_made,post_contact_metres,kick_bounced,initial_break,goal_kick_success_percent,tackle_success_percent,retained_kicks_percent,lineout_success_percent,points,metres_per_carry,post_contact_metres_per_carry,total_jackals,kick_metres_per_kick
2012,England,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,
2012,France,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,
2012,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,,
2012,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,
2012,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,
2012,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,
2013,England,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,
2013,France,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,
2013,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,
2013,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,
2013,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,
2013,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,
2014,England,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,,,,
2014,France,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,
2014,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,,,,
2014,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,
2014,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,
2014,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,
2015,England,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,,,,
2015,France,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,,,
2015,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,
2015,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,
2015,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,
2015,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,,
2016,England,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,
2016,France,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,
2016,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,,,,
